Min. Lam (nm)	Max Lam (nm)	Cent. Lam (nm)	Optics T
100     100     100     0.05306
200	230	215	0.05306
220	260	240	0.06769
250	290	270	0.08490
280	330	305	0.10334
320	370	345	0.12193
360	400	380	0.13242
400	460	430	0.28960
450	520	485	0.32425
510	590	550	0.32406
580	670	625	0.29638
660	770	715	0.23899
760	850	805	0.17132
850	990	920	0.29394
980	1140	1060	0.45938
1130	1310	1220	0.53438
1300	1510	1405	0.57259
1500	1740	1620	0.59805
1730	2010	1870	0.61475
2000	2320	2160	0.62796
2310	2500	2405	0.63593
5000    5000    5000    0.63593
