#!/bin/bash
### All planets on exoplanets.org with the filter PLANETDISCMETH = Transit
### and with mass values > 0.0 (TRANSIT == 1 && MSINI[mjupiter] > 0.0)
### excluding all non-CoRoT and non-Kepler objects
### These were obtained on 4/March/2015 [CBH]
###   NAME       MSINI       A         Mstar
###             mjupiter     au        Msun
    CoRoT-1-b   1.03e+00   2.53e-02   9.50e-01
   CoRoT-10-b   2.75e+00   1.05e-01   8.90e-01
   CoRoT-11-b   2.33e+00   4.41e-02   1.27e+00
   CoRoT-12-b   9.16e-01   4.01e-02   1.08e+00
   CoRoT-13-b   1.31e+00   5.11e-02   1.09e+00
   CoRoT-14-b   7.57e+00   2.69e-02   1.13e+00
   CoRoT-16-b   5.36e-01   6.18e-02   1.10e+00
   CoRoT-17-b   2.46e+00   4.80e-02   1.04e+00
   CoRoT-18-b   3.48e+00   2.95e-02   9.50e-01
   CoRoT-19-b   1.11e+00   5.17e-02   1.21e+00
    CoRoT-2-b   3.27e+00   2.81e-02   9.70e-01
   CoRoT-23-b   3.08e+00   4.83e-02   1.14e+00
   CoRoT-25-b   2.65e-01   5.78e-02   1.09e+00
   CoRoT-26-b   4.79e-01   5.25e-02   1.09e+00
   CoRoT-27-b   1.04e+01   4.67e-02   1.05e+00
    CoRoT-3-b   2.18e+01   5.74e-02   1.37e+00
    CoRoT-4-b   7.17e-01   9.03e-02   1.16e+00
    CoRoT-5-b   4.61e-01   4.96e-02   1.00e+00
    CoRoT-6-b   2.95e+00   8.54e-02   1.05e+00
    CoRoT-7-b   1.38e-02   1.72e-02   9.30e-01
    CoRoT-8-b   2.16e-01   6.34e-02   8.80e-01
    CoRoT-9-b   8.44e-01   4.07e-01   9.90e-01
  Kepler-10-b   1.42e-02   1.68e-02   8.95e-01
 Kepler-100-b   1.87e-02   7.27e-02   1.08e+00
 Kepler-102-d   1.26e-02   8.61e-02   8.00e-01
 Kepler-102-e   2.97e-02   1.16e-01   8.00e-01
 Kepler-102-f   2.70e-02   1.65e-01   8.00e-01
 Kepler-103-b   3.04e-02   1.28e-01   1.09e+00
  Kepler-11-d   1.92e-02   1.55e-01   9.61e-01
  Kepler-12-b   4.32e-01   5.56e-02   1.17e+00
 Kepler-131-b   4.97e-02   1.26e-01   1.02e+00
 Kepler-131-c   5.25e-02   1.71e-01   1.02e+00
  Kepler-14-b   8.41e+00   8.07e-02   1.51e+00
  Kepler-15-b   6.62e-01   5.71e-02   1.02e+00
  Kepler-17-b   2.48e+00   2.68e-02   1.16e+00
  Kepler-20-b   2.66e-02   4.54e-02   9.12e-01
  Kepler-20-c   4.95e-02   9.30e-02   9.12e-01
  Kepler-20-d   2.37e-02   3.45e-01   9.12e-01
  Kepler-37-b   9.58e-03   1.02e-01   8.03e-01
  Kepler-37-c   1.08e-02   1.40e-01   8.03e-01
  Kepler-37-d   5.77e-03   2.12e-01   8.03e-01
  Kepler-39-b   1.82e+01   1.55e-01   1.10e+00
   Kepler-4-b   7.72e-02   4.56e-02   1.22e+00
  Kepler-40-b   2.18e+00   8.07e-02   1.48e+00
 Kepler-406-b   2.00e-02   3.61e-02   1.07e+00
 Kepler-406-c   8.58e-03   5.56e-02   1.07e+00
  Kepler-41-b   4.93e-01   2.90e-02   9.40e-01
 Kepler-412-b   9.29e-01   2.96e-02   1.17e+00
  Kepler-43-b   3.22e+00   4.49e-02   1.32e+00
  Kepler-44-b   1.02e+00   4.55e-02   1.19e+00
  Kepler-45-b   5.11e-01   2.99e-02   5.90e-01
  Kepler-48-b   1.23e-02   5.32e-02   8.80e-01
  Kepler-48-c   4.56e-02   8.51e-02   8.80e-01
   Kepler-5-b   2.11e+00   5.06e-02   1.37e+00
   Kepler-6-b   6.68e-01   4.56e-02   1.21e+00
  Kepler-68-b   1.88e-02   6.18e-02   1.08e+00
  Kepler-68-c   6.27e-03   9.07e-02   1.08e+00
   Kepler-7-b   4.37e-01   6.22e-02   1.35e+00
  Kepler-74-b   6.65e-01   8.27e-02   1.40e+00
  Kepler-75-b   9.98e+00   8.07e-02   8.80e-01
  Kepler-76-b   1.96e+00   2.72e-02   1.12e+00
  Kepler-77-b   4.31e-01   4.50e-02   9.50e-01
   Kepler-8-b   5.83e-01   4.83e-02   1.21e+00
  Kepler-89-b   2.87e-02   5.12e-02   1.28e+00
  Kepler-89-d   3.03e-01   1.73e-01   1.28e+00
  Kepler-89-e   9.87e-02   3.05e-01   1.28e+00
   Kepler-9-b   2.49e-01   1.41e-01   1.00e+00
   Kepler-9-c   1.69e-01   2.25e-01   1.00e+00
  Kepler-93-b   8.14e-03   5.34e-02   9.10e-01
  Kepler-96-b   2.62e-02   1.25e-01   1.00e+00
  Kepler-97-b   1.07e-02   3.61e-02   9.40e-01
  Kepler-98-b   1.03e-02   2.60e-02   9.90e-01
  Kepler-99-b   2.04e-02   5.01e-02   7.90e-01
