#!/bin/bash
### All planets on exoplanet.eu with the filter '"microlensing" IN detection'
### These were obtained on 4/March/2015 [CBH]
###                 NAME             MSINI        A          Mstar
###                                 mjupiter      au         Msun
            MOA-2007-BLG-192-L-b    1.00e-02    6.60e-01    6.00e-02
            MOA-2007-BLG-400-L-b    9.00e-01    8.50e-01    3.50e-01
            MOA-2008-BLG-310-L-b    2.30e-01    1.25e+00    6.70e-01
             MOA-2008-BLG-379L-b    4.10e+00    3.30e+00    6.60e-01
             MOA-2009-BLG-266L-b    3.27e-02    3.20e+00    5.60e-01
              MOA-2009-BLG-319-b    1.57e-01    2.00e+00    3.80e-01
             MOA-2009-BLG-387L-b    2.60e+00    1.80e+00    1.90e-01
             MOA-2010-BLG-328L-b    2.90e-02    9.20e-01    1.10e-01
             MOA-2010-BLG-477L-b    1.50e+00    2.00e+00    6.70e-01
             MOA-2011-BLG-262L-b    5.66e-02    8.40e-01    1.20e-01
              MOA-2011-BLG-274-b    8.00e-01    4.00e+01   -9.99e+00
             MOA-2011-BLG-293L-b    4.80e+00    1.10e+00    8.60e-01
             MOA-2011-BLG-322L-b    7.80e+00    3.60e+00    3.10e-01
             MOA-2013-BLG-220L-b    1.89e-01    7.00e-01    5.00e-02
                     MOA-bin-1-b    3.70e+00    8.30e+00    7.50e-01
                  OGLE-05-071L-b    3.50e+00    3.60e+00    4.60e-01
                  OGLE-05-169L-b    4.00e-02    2.80e+00    4.90e-01
                  OGLE-05-390L-b    1.70e-02    2.10e+00    2.20e-01
                  OGLE-06-109L-b    7.27e-01    2.30e+00    5.10e-01
                  OGLE-06-109L-c    2.71e-01    4.50e+00    5.10e-01
            OGLE-2007-BLG-368L-b    6.94e-02    3.30e+00    6.40e-01
OGLE-2009-BLG-151-MOA-2009-232-b    7.50e+00    3.10e-01    1.80e-02
            OGLE-2011-BLG-0251-b    9.60e-01    3.86e+00    4.70e-01
            OGLE-2011-BLG-0420-b    9.40e+00    1.90e-01    2.50e-02
           OGLE-2012-BLG-0026L-b    1.10e-01    3.82e+00    8.20e-01
           OGLE-2012-BLG-0026L-c    6.80e-01    4.63e+00    8.20e-01
           OGLE-2012-BLG-0358L-b    1.85e+00    8.70e-01    2.20e-02
           OGLE-2012-BLG-0406L-b    2.73e+00    3.45e+00    4.40e-01
           OGLE-2013-BLG-0102L-b    1.36e+01    8.00e-01    9.70e-02
           OGLE-2013-BLG-0341L-b    5.22e-03    7.02e-01    1.13e-01
           OGLE-2014-BLG-0124L-b    5.00e-01    3.10e+00    7.10e-01
                 OGLE235-MOA53-b    2.60e+00    5.10e+00    6.30e-01
