#!/bin/bash
### All planets on exoplanet.eu with the filter '"imaging" IN detection'
### Kepler 70b,c were *not* detected via imaging, so they have been removed
### These were obtained on 4/March/2015 [CBH]
###      NAME        MSINI         A         Mstar
###                 mjupiter       au        Msun
      1RXS1609-b    8.00e+00    3.30e+02    7.30e-01
   2M-0103(AB)-b    1.30e+01    8.40e+01    4.00e-01
  2M-0122-2439-b    1.30e+01    5.20e+01    4.00e-01
     2M-044144-b    7.50e+00    1.50e+01    2.00e-02
    2M-0746+20-b    3.00e+01    2.90e+00    1.20e-01
    2M-2140+16-b    2.00e+01    3.53e+00    8.00e-02
    2M-2206-20-b    3.00e+01    4.48e+00    1.30e-01
        2M1207-b    4.00e+00    4.60e+01    2.50e-02
        AB-Pic-b    1.35e+01    2.75e+02   -9.99e+00
    CD-35-2722-b    3.10e+01    6.70e+01    4.00e-01
    CFBDS-1458-b    6.50e+00    2.60e+00    2.40e-02
       CHXR-73-b    1.20e+01    2.00e+02    3.50e-01
        CT-Cha-b    1.70e+01    4.40e+02   -9.99e+00
        DH-Tau-b    1.10e+01    3.30e+02    3.70e-01
        FU-Tau-b    1.50e+01    8.00e+02    5.00e-02
        FW-Tau-b    1.00e+01    3.30e+02    2.60e-01
     Fomalhaut-b    3.00e+00    1.15e+02    1.92e+00
        GJ-504-b    4.00e+00    4.35e+01    1.22e+00
        GQ-Lup-b    2.15e+01    1.03e+02    7.00e-01
  GSC-6214-210-b    1.70e+01    3.20e+02    6.00e-01
        GU-Psc-b    1.10e+01    2.00e+03    3.50e-01
     HD-106906-b    1.10e+01    6.54e+02    1.50e+00
     HD-284149-b    3.20e+01    4.00e+02    1.14e+00
      HD-95086-b    4.50e+00    5.60e+01    1.60e+00
      HD169142-b    3.00e+01    2.27e+01    1.65e+00
     HIP-77900-b    2.00e+01    3.20e+03   -9.99e+00
     HIP-78530-b    2.30e+01    7.10e+02    2.50e+00
        HN-Peg-b    1.60e+01    7.95e+02    1.00e+00
       HR-8799-b    7.00e+00    6.80e+01    1.56e+00
       HR-8799-c    1.00e+01    4.29e+01    1.56e+00
       HR-8799-d    1.00e+01    2.70e+01    1.56e+00
       HR-8799-e    9.00e+00    1.45e+01    1.56e+00
       LKCA-15-b    6.00e+00    1.57e+01    9.70e-01
        Oph-11-b    2.10e+01    2.43e+02    1.62e-02
        PZ-Tel-b    7.50e+00    2.00e+01    1.13e+00
       ROXs-12-b    1.60e+01    2.10e+02    8.70e-01
      ROXs-42B-b    1.00e+01    1.40e+02    6.00e-01
  Ross-458(AB)-c    8.50e+00    1.17e+03    6.00e-01
      SR-12-AB-c    1.30e+01    1.08e+03   -9.99e+00
         TWA-5-b    2.50e+01    1.00e+02    4.00e-01
 USco1602-2401-b    4.70e+01    1.00e+03   -9.99e+00
 USco1610-1913-b    2.00e+01    8.40e+02   -9.99e+00
 USco1612-1800-b    2.60e+01    4.30e+02   -9.99e+00
  UScoCTIO-108-b    1.40e+01    6.70e+02    5.70e-02
  WD-0806-661B-b    8.00e+00    2.50e+03    6.20e-01
WISE-0458+6434-b    1.30e+01    5.00e+00    1.90e-02
 WISE-1217+16A-b    2.20e+01    7.60e+00    3.00e-02
WISE-1711+3500-b    1.80e+01    1.50e+01    3.40e-02
      beta-Pic-b    7.00e+00    9.04e+00    1.80e+00
     kappa-And-b    1.28e+01    5.50e+01    2.45e+00
