#!/bin/bash
### All planets on exoplanets.org with the filter PLANETDISCMETH = RV
### and with mass values > 0.0 (PLANETDISCMETH == 'RV' && MSINI[mjupiter] > 0.0)
### These were obtained on 4/March/2015 [CBH]
###    NAME        MSINI        A        Mstar
###               mjupiter      au       Msun
       11-Com-b   1.61e+01   1.18e+00   2.04e+00
       11-UMi-b   1.11e+01   1.53e+00   1.80e+00
       14-And-b   4.68e+00   8.23e-01   2.15e+00
       14-Her-b   5.21e+00   2.93e+00   1.07e+00
     16-Cyg-B-b   1.64e+00   1.66e+00   9.56e-01
       18-Del-b   1.03e+01   2.59e+00   2.33e+00
       24-Sex-b   1.84e+00   1.41e+00   1.81e+00
       24-Sex-c   1.52e+00   2.24e+00   1.81e+00
     30-Ari-B-b   9.88e+00   9.95e-01   1.16e+00
        4-UMa-b   7.13e+00   8.77e-01   1.23e+00
       42-Dra-b   3.73e+00   1.17e+00   9.20e-01
       47-UMa-b   2.55e+00   2.10e+00   1.06e+00
       47-UMa-c   5.46e-01   3.57e+00   1.06e+00
       51-Peg-b   4.61e-01   5.21e-02   1.05e+00
       55-Cnc-b   8.01e-01   1.13e-01   9.05e-01
       55-Cnc-c   1.65e-01   2.37e-01   9.05e-01
       55-Cnc-d   3.54e+00   5.47e+00   9.05e-01
       55-Cnc-e   2.62e-02   1.54e-02   9.05e-01
       55-Cnc-f   1.73e-01   7.74e-01   9.05e-01
        6-Lyn-b   2.21e+00   2.19e+00   1.82e+00
       61-Vir-b   1.61e-02   5.01e-02   9.42e-01
       61-Vir-c   3.34e-02   2.17e-01   9.42e-01
       61-Vir-d   7.16e-02   4.75e-01   9.42e-01
        7-CMa-b   2.43e+00   1.80e+00   1.34e+00
       70-Vir-b   7.46e+00   4.84e-01   1.10e+00
       75-Cet-b   2.76e+00   1.98e+00   2.15e+00
       81-Cet-b   4.31e+00   2.28e+00   1.74e+00
       91-Aqr-b   3.07e+00   6.88e-01   1.32e+00
  BD-+14-4559-b   1.52e+00   7.76e-01   8.60e-01
  BD-+20-2457-b   1.19e+01   1.05e+00   1.06e+00
  BD-+20-2457-c   6.90e+00   1.46e+00   1.06e+00
   BD-+48-738-b   1.27e+00   1.11e+00   1.19e+00
  BD--08-2823-b   4.59e-02   5.58e-02   7.40e-01
  BD--08-2823-c   3.28e-01   6.79e-01   7.40e-01
  BD--10-3166-b   4.30e-01   4.38e-02   9.20e-01
       GJ-163-b   3.39e-02   6.07e-02   4.00e-01
       GJ-163-c   2.16e-02   1.25e-01   4.00e-01
       GJ-163-d   9.26e-02   1.03e+00   4.00e-01
       GJ-176-b   2.60e-02   6.57e-02   4.90e-01
       GJ-179-b   8.24e-01   2.41e+00   3.57e-01
       GJ-317-b   1.26e+00   9.53e-01   2.40e-01
       GJ-328-b   2.30e+00   4.43e+00   6.90e-01
      GJ-3470-b   4.40e-02   3.56e-02   5.41e-01
      GJ-3634-b   2.22e-02   2.87e-02   4.50e-01
       GJ-433-b   1.82e-02   5.80e-02   4.80e-01
       GJ-436-b   7.26e-02   2.87e-02   4.52e-01
       GJ-581-b   4.99e-02   4.06e-02   3.10e-01
       GJ-581-c   1.68e-02   7.29e-02   3.10e-01
       GJ-581-e   6.13e-03   2.85e-02   3.10e-01
       GJ-649-b   3.25e-01   1.13e+00   5.40e-01
     GJ-667-C-b   1.75e-02   5.04e-02   3.30e-01
     GJ-667-C-c   1.31e-02   1.25e-01   3.30e-01
       GJ-674-b   3.49e-02   3.87e-02   3.50e-01
     GJ-676-A-b   4.90e+00   1.82e+00   7.10e-01
       GJ-832-b   6.44e-01   3.40e+00   4.50e-01
       GJ-849-b   8.31e-01   2.35e+00   4.90e-01
        GJ-86-b   4.00e+00   1.14e-01   7.96e-01
       GJ-876-b   1.95e+00   2.08e-01   3.20e-01
       GJ-876-c   6.12e-01   1.30e-01   3.20e-01
       GJ-876-d   1.84e-02   2.08e-02   3.20e-01
       GJ-876-e   3.92e-02   3.33e-01   3.20e-01
     HAT-P-13-c   1.43e+01   1.23e+00   1.22e+00
    HD-100655-b   1.33e+00   6.83e-01   1.71e+00
    HD-100777-b   1.17e+00   1.03e+00   1.00e+00
     HD-10180-c   4.15e-02   6.41e-02   1.06e+00
     HD-10180-d   3.77e-02   1.29e-01   1.06e+00
     HD-10180-e   7.98e-02   2.70e-01   1.06e+00
     HD-10180-f   7.43e-02   4.93e-01   1.06e+00
     HD-10180-g   6.74e-02   1.42e+00   1.06e+00
     HD-10180-h   2.06e-01   3.42e+00   1.06e+00
    HD-101930-b   2.99e-01   3.02e-01   7.40e-01
    HD-102117-b   1.70e-01   1.52e-01   1.08e+00
    HD-102195-b   4.53e-01   4.80e-02   8.70e-01
    HD-102272-b   4.11e+00   5.13e-01   1.10e+00
    HD-102329-b   4.48e+00   1.81e+00   1.30e+00
    HD-102365-b   5.10e-02   4.63e-01   8.90e-01
    HD-102956-b   9.51e-01   8.10e-02   1.68e+00
    HD-103197-b   9.82e-02   2.49e-01   9.00e-01
    HD-103774-b   3.68e-01   7.03e-02   1.33e+00
    HD-104067-b   1.86e-01   2.64e-01   7.91e-01
    HD-104985-b   4.92e+00   6.78e-01   1.04e+00
    HD-106252-b   6.96e+00   2.61e+00   1.01e+00
    HD-106270-b   1.11e+01   4.38e+00   1.33e+00
     HD-10647-b   9.25e-01   2.02e+00   1.09e+00
     HD-10697-b   6.24e+00   2.13e+00   1.11e+00
    HD-107148-b   2.12e-01   2.70e-01   1.14e+00
    HD-108147-b   2.58e-01   1.01e-01   1.17e+00
    HD-108863-b   2.77e+00   1.45e+00   2.08e+00
    HD-108874-b   1.29e+00   1.04e+00   9.50e-01
    HD-108874-c   1.03e+00   2.72e+00   9.50e-01
    HD-109246-b   7.68e-01   3.28e-01   1.01e+00
    HD-109749-b   2.75e-01   6.29e-02   1.21e+00
    HD-111232-b   6.84e+00   1.97e+00   7.80e-01
    HD-113337-b   2.83e+00   1.03e+00   1.40e+00
    HD-114386-b   1.36e+00   1.73e+00   7.80e-01
    HD-114613-b   5.06e-01   5.31e+00   1.36e+00
    HD-114729-b   9.45e-01   2.10e+00   9.98e-01
    HD-114762-b   1.16e+01   3.63e-01   8.95e-01
    HD-114783-b   1.11e+00   1.16e+00   8.53e-01
     HD-11506-b   4.73e+00   2.60e+00   1.19e+00
    HD-116029-b   1.91e+00   1.65e+00   1.33e+00
    HD-117207-b   1.82e+00   3.74e+00   1.03e+00
    HD-117618-b   1.77e-01   1.75e-01   1.07e+00
    HD-118203-b   2.14e+00   7.03e-02   1.23e+00
