#!/bin/bash
### All planets on exoplanets.org with the filter PLANETDISCMETH = Transit
### and with mass values > 0.0 (TRANSIT == 1 && MSINI[mjupiter] > 0.0)
### These were obtained on 4/March/2015 [CBH]
###   NAME      MSINI       A         Mstar
###            mjupiter     au        Msun
     55-Cnc-e   2.62e-02   1.54e-02   9.05e-01
    CoRoT-1-b   1.03e+00   2.53e-02   9.50e-01
   CoRoT-10-b   2.75e+00   1.05e-01   8.90e-01
   CoRoT-11-b   2.33e+00   4.41e-02   1.27e+00
   CoRoT-12-b   9.16e-01   4.01e-02   1.08e+00
   CoRoT-13-b   1.31e+00   5.11e-02   1.09e+00
   CoRoT-14-b   7.57e+00   2.69e-02   1.13e+00
   CoRoT-16-b   5.36e-01   6.18e-02   1.10e+00
   CoRoT-17-b   2.46e+00   4.80e-02   1.04e+00
   CoRoT-18-b   3.48e+00   2.95e-02   9.50e-01
   CoRoT-19-b   1.11e+00   5.17e-02   1.21e+00
    CoRoT-2-b   3.27e+00   2.81e-02   9.70e-01
   CoRoT-23-b   3.08e+00   4.83e-02   1.14e+00
   CoRoT-25-b   2.65e-01   5.78e-02   1.09e+00
   CoRoT-26-b   4.79e-01   5.25e-02   1.09e+00
   CoRoT-27-b   1.04e+01   4.67e-02   1.05e+00
    CoRoT-3-b   2.18e+01   5.74e-02   1.37e+00
    CoRoT-4-b   7.17e-01   9.03e-02   1.16e+00
    CoRoT-5-b   4.61e-01   4.96e-02   1.00e+00
    CoRoT-6-b   2.95e+00   8.54e-02   1.05e+00
    CoRoT-7-b   1.38e-02   1.72e-02   9.30e-01
    CoRoT-8-b   2.16e-01   6.34e-02   8.80e-01
    CoRoT-9-b   8.44e-01   4.07e-01   9.90e-01
    GJ-1214-b   2.04e-02   1.43e-02   1.57e-01
    GJ-3470-b   4.40e-02   3.56e-02   5.41e-01
     GJ-436-b   7.26e-02   2.87e-02   4.52e-01
    HAT-P-1-b   5.31e-01   5.53e-02   1.13e+00
   HAT-P-11-b   8.25e-02   5.25e-02   8.10e-01
   HAT-P-12-b   2.11e-01   3.84e-02   7.30e-01
   HAT-P-13-b   8.51e-01   4.27e-02   1.22e+00
   HAT-P-14-b   2.22e+00   6.06e-02   1.39e+00
   HAT-P-15-b   1.95e+00   9.65e-02   1.01e+00
   HAT-P-16-b   4.20e+00   4.13e-02   1.22e+00
   HAT-P-17-b   5.30e-01   8.82e-02   8.57e-01
   HAT-P-18-b   1.97e-01   5.60e-02   7.70e-01
   HAT-P-19-b   2.92e-01   4.66e-02   8.42e-01
    HAT-P-2-b   8.86e+00   6.79e-02   1.31e+00
   HAT-P-20-b   7.28e+00   3.62e-02   7.56e-01
   HAT-P-21-b   4.07e+00   4.95e-02   9.47e-01
   HAT-P-22-b   2.15e+00   4.14e-02   9.16e-01
   HAT-P-23-b   2.09e+00   2.32e-02   1.13e+00
   HAT-P-24-b   6.86e-01   4.65e-02   1.19e+00
   HAT-P-25-b   5.67e-01   4.66e-02   1.01e+00
   HAT-P-26-b   5.86e-02   4.79e-02   8.16e-01
   HAT-P-27-b   6.15e-01   3.99e-02   9.20e-01
   HAT-P-28-b   6.27e-01   4.34e-02   1.02e+00
   HAT-P-29-b   7.78e-01   6.67e-02   1.21e+00
    HAT-P-3-b   5.95e-01   3.88e-02   9.28e-01
   HAT-P-30-b   7.07e-01   4.19e-02   1.24e+00
   HAT-P-31-b   2.17e+00   6.12e-02   1.22e+00
   HAT-P-32-b   8.61e-01   3.43e-02   1.16e+00
   HAT-P-33-b   7.62e-01   4.99e-02   1.38e+00
   HAT-P-34-b   3.33e+00   6.77e-02   1.39e+00
   HAT-P-35-b   1.05e+00   4.98e-02   1.24e+00
   HAT-P-36-b   1.83e+00   2.38e-02   1.02e+00
   HAT-P-37-b   1.17e+00   3.79e-02   9.29e-01
   HAT-P-38-b   2.67e-01   5.23e-02   8.86e-01
   HAT-P-39-b   5.98e-01   5.09e-02   1.40e+00
    HAT-P-4-b   6.72e-01   4.44e-02   1.25e+00
   HAT-P-40-b   6.20e-01   6.08e-02   1.51e+00
   HAT-P-41-b   8.00e-01   4.26e-02   1.42e+00
   HAT-P-49-b   1.73e+00   4.38e-02   1.54e+00
    HAT-P-5-b   1.05e+00   4.07e-02   1.16e+00
    HAT-P-6-b   1.06e+00   5.24e-02   1.29e+00
    HAT-P-7-b   1.78e+00   3.80e-02   1.50e+00
    HAT-P-8-b   1.29e+00   4.50e-02   1.28e+00
    HAT-P-9-b   7.75e-01   5.29e-02   1.28e+00
     HATS-1-b   1.86e+00   4.45e-02   9.86e-01
     HATS-2-b   1.35e+00   2.30e-02   8.82e-01
  HD-149026-b   3.60e-01   4.31e-02   1.29e+00
   HD-17156-b   3.30e+00   1.63e-01   1.28e+00
  HD-189733-b   1.14e+00   3.10e-02   8.06e-01
  HD-209458-b   6.89e-01   4.72e-02   1.13e+00
   HD-80606-b   3.89e+00   4.47e-01   9.58e-01
   HD-97658-b   2.47e-02   7.96e-02   7.48e-01
   KELT-2-A-b   1.52e+00   5.50e-02   1.31e+00
     KELT-3-b   1.45e+00   4.13e-02   1.28e+00
     KELT-6-b   4.31e-01   7.94e-02   1.08e+00
  Kepler-10-b   1.42e-02   1.68e-02   8.95e-01
 Kepler-100-b   1.87e-02   7.27e-02   1.08e+00
 Kepler-102-d   1.26e-02   8.61e-02   8.00e-01
 Kepler-102-e   2.97e-02   1.16e-01   8.00e-01
 Kepler-102-f   2.70e-02   1.65e-01   8.00e-01
 Kepler-103-b   3.04e-02   1.28e-01   1.09e+00
  Kepler-11-d   1.92e-02   1.55e-01   9.61e-01
  Kepler-12-b   4.32e-01   5.56e-02   1.17e+00
 Kepler-131-b   4.97e-02   1.26e-01   1.02e+00
 Kepler-131-c   5.25e-02   1.71e-01   1.02e+00
  Kepler-14-b   8.41e+00   8.07e-02   1.51e+00
  Kepler-15-b   6.62e-01   5.71e-02   1.02e+00
  Kepler-17-b   2.48e+00   2.68e-02   1.16e+00
  Kepler-20-b   2.66e-02   4.54e-02   9.12e-01
  Kepler-20-c   4.95e-02   9.30e-02   9.12e-01
  Kepler-20-d   2.37e-02   3.45e-01   9.12e-01
  Kepler-37-b   9.58e-03   1.02e-01   8.03e-01
  Kepler-37-c   1.08e-02   1.40e-01   8.03e-01
  Kepler-37-d   5.77e-03   2.12e-01   8.03e-01
  Kepler-39-b   1.82e+01   1.55e-01   1.10e+00
   Kepler-4-b   7.72e-02   4.56e-02   1.22e+00
  Kepler-40-b   2.18e+00   8.07e-02   1.48e+00
 Kepler-406-b   2.00e-02   3.61e-02   1.07e+00
 Kepler-406-c   8.58e-03   5.56e-02   1.07e+00
  Kepler-41-b   4.93e-01   2.90e-02   9.40e-01
 Kepler-412-b   9.29e-01   2.96e-02   1.17e+00
  Kepler-43-b   3.22e+00   4.49e-02   1.32e+00
  Kepler-44-b   1.02e+00   4.55e-02   1.19e+00
  Kepler-45-b   5.11e-01   2.99e-02   5.90e-01
  Kepler-48-b   1.23e-02   5.32e-02   8.80e-01
  Kepler-48-c   4.56e-02   8.51e-02   8.80e-01
   Kepler-5-b   2.11e+00   5.06e-02   1.37e+00
   Kepler-6-b   6.68e-01   4.56e-02   1.21e+00
  Kepler-68-b   1.88e-02   6.18e-02   1.08e+00
  Kepler-68-c   6.27e-03   9.07e-02   1.08e+00
   Kepler-7-b   4.37e-01   6.22e-02   1.35e+00
  Kepler-74-b   6.65e-01   8.27e-02   1.40e+00
  Kepler-75-b   9.98e+00   8.07e-02   8.80e-01
  Kepler-76-b   1.96e+00   2.72e-02   1.12e+00
  Kepler-77-b   4.31e-01   4.50e-02   9.50e-01
   Kepler-8-b   5.83e-01   4.83e-02   1.21e+00
  Kepler-89-b   2.87e-02   5.12e-02   1.28e+00
  Kepler-89-d   3.03e-01   1.73e-01   1.28e+00
  Kepler-89-e   9.87e-02   3.05e-01   1.28e+00
   Kepler-9-b   2.49e-01   1.41e-01   1.00e+00
   Kepler-9-c   1.69e-01   2.25e-01   1.00e+00
